institution,retraction_count,median_citations,primary_country
Cardiff University,24,5.5,United Kingdom
JingGangShan University,24,1.5,China
Hirosaki University School of Medicine,24,53.0,Japan
Jining Medical University,24,7.5,China
The Second Hospital of Hebei Medical University,24,8.5,China
University of Agriculture Faisalabad,24,19.0,China
Bengbu Medical College,24,6.0,China
University of Virginia,24,11.5,United States
Pennsylvania State University,24,13.5,United States
Nagoya University,24,20.0,Japan
Weill Cornell Medical College,24,37.5,United States
Hindustan Institute of Technology and Science,24,16.5,India
The First Affiliated Hospital of Jinzhou Medical University,24,8.0,China
Chengdu University of Information Technology,24,2.5,China
New Valley University,24,20.0,Egypt
Fujian Medical University Union Hospital,24,13.0,China
Washington University School of Medicine,24,13.5,United States
Shaoyang University,24,3.0,China
The Affiliated Yantai Yuhuangding Hospital of Qingdao University,24,15.0,China
National University of Sciences and Technology,24,9.5,Pakistan
University of Southern California,24,11.0,United States
Khon Kaen University,24,12.0,Thailand
The University of Sydney,24,6.0,Australia
Guangdong University of Foreign Studies,24,2.5,China
Shanghai University of Sport,24,4.0,China
Vanderbilt University,24,20.0,United States
Payame Noor University,24,9.0,Iran
Velammal Institute of Technology,24,21.0,Ethiopia
Xiangtan University,24,6.0,China
The Fourth Affiliated Hospital of China Medical University,24,9.0,China
Huanggang Normal University,24,1.0,China
North China University of Technology,24,1.0,China
Shanghai Normal University,24,2.0,China
Luoyang Institute of Science and Technology,23,2.0,China
Chengdu University of Traditional Chinese Medicine,23,4.0,China
Chettinad Academy of Research and Education,23,11.0,India
Shanxi Normal University,23,3.0,China
Sultan Qaboos University,23,8.0,Australia
AlMaarefa University,23,9.0,Egypt
The First Affiliated Hospital of Hebei North University,23,2.0,China
M Kumarasamy College of Engineering,23,0.0,India
University,23,1.0,China
University of Sharjah,23,9.0,United Arab Emirates
Chungnam National University,23,6.0,South Korea
Yunnan Normal University,23,2.0,China
University of Sheffield,23,4.0,United Kingdom
Maastricht University,23,5.0,Netherlands
Aarhus University,23,9.0,Denmark
Wuhan Institute of Technology,23,0.0,China
University of Gujrat,23,14.0,Pakistan
Shihezi University,23,7.0,China
University of Perugia,23,2.0,France
Linyi Central Hospital,23,15.0,China
University of Pittsburgh School of Medicine,23,58.0,United States
University of Texas,23,8.0,United States
Guizhou Normal University,23,4.0,China
University of Utah,23,9.0,United States
Shandong Provincial Hospital Affiliated to Shandong First Medical University,23,7.0,China
Changsha University of Science and Technology,23,4.0,China
Indiana University School of Medicine,23,22.0,United States
Fudan University Shanghai Cancer Center,23,26.0,China
Georgia Institute of Technology,23,19.0,United States
Hunan University of Science and Technology,23,2.0,China
Aix-Marseille Université,23,32.0,France
Hebei Medical University,23,6.0,China
Yildiz Technical University,23,13.0,Turkey
Yulin Normal University,23,5.0,China
ILMA University,23,22.0,China
Mahidol University,23,23.0,Thailand
Uttaranchal University,23,11.0,India
University of Hail,22,3.5,Saudi Arabia
Sungkyunkwan University School of Medicine,22,10.5,South Korea
Al-Farabi Kazakh National University,22,6.5,Kazakhstan
Weinan Normal University,22,2.0,China
Wuhan Polytechnic University,22,1.5,China
Democritus University of Thrace,22,18.0,Greece
AGH University of Science and Technology,22,58.0,Iraq
Chennai Institute of Technology,22,11.0,India
Peking University Shenzhen Hospital,22,26.0,China
The Second Affiliated Hospital of Dalian Medical University,22,15.0,China
University of Mysore,22,7.0,India
Liaoning Normal University,22,3.0,China
The Second Affiliated Hospital of Shandong First Medical University,22,5.0,China
University of Nottingham Malaysia,22,40.0,China
Xi'an Technological University,22,2.5,China
Al-Kitab University,22,10.5,Hungary
Jiaxing University,22,1.5,China
Bahria University,22,29.0,China
Kunming Medical University,22,20.0,China
Suqian University,22,2.0,China
Army Medical University,22,9.0,China
Hainan Normal University,22,2.0,China
University of Turin,22,22.0,Italy
The First Affiliated Hospital of Xinjiang Medical University,22,10.0,China
University of Illinois at Chicago,22,15.0,United States
Polish Academy of Sciences,22,7.5,Poland
University of Western Ontario,22,11.5,Canada
University of Pretoria,22,4.0,South Africa
University of Milan,22,21.5,Italy
Jimma Institute of Technology,22,10.0,Ethiopia
Al-Ayen University,22,9.5,India
Tianjin First Central Hospital,22,9.5,China
National Yunlin University of Science and Technology,22,4.5,Taiwan
GITAM University,22,16.5,India
Binzhou Medical University,22,18.0,China
Gannan Normal University,22,3.5,China
Al-Nisour University College,22,4.5,India
Anhui Normal University,22,3.5,China
Al-Mustaqbal University,22,4.5,Iraq
Academy of Fine Arts,22,4.0,China
Yonsei University College of Medicine,22,7.0,South Korea
The Second Xiangya Hospital of Central South University,22,15.5,China
South China Agricultural University,22,2.0,China
Yantai Yuhuangding Hospital,22,9.5,China
University of North Carolina at Chapel Hill,22,14.0,United States
Czech University of Life Sciences Prague,22,1.0,Czech Republic
Cyprus International University,22,36.5,China
Zhejiang Shuren University,22,1.5,China
M. Kumarasamy College of Engineering,22,3.0,India
Hunan First Normal University,21,3.0,China
Johns Hopkins University School of Medicine,21,50.0,United States
Heze Municipal Hospital,21,11.0,China
Jimei University,21,2.0,China
China-Japan Friendship Hospital,21,10.0,China
Mustansiriyah University,21,1.0,Iraq
Government College of Engineering,21,4.0,India
Sun Yat-sen University Cancer Center,21,23.0,China
University of Arizona,21,16.0,United States
Medical School of Nanjing University,21,7.0,China
University of Cincinnati,21,11.0,United States
Shenyang Sport University,21,4.0,China
Beijing University of Civil Engineering and Architecture,21,0.0,China
Universidade de Lisboa,21,25.0,Iran
Amman Arab University,21,25.0,Jordan
Shanghai Medical College,21,9.0,China
Heilongjiang University,21,0.0,China
Hunan Institute of Technology,21,3.0,China
California Institute of Technology,21,25.0,United States
The First Affiliated Hospital of China Medical University,21,15.0,China
Zhejiang Yuexiu University,21,4.0,China
Chongqing University of Science and Technology,21,1.0,China
Futase Social Insurance Hospital,21,60.0,Japan
University of Helsinki,21,16.0,Finland
Mizan-Tepi University,21,8.0,Ethiopia
Saudi Electronic University,21,13.0,India
Jiangxi University of Science and Techology,21,1.0,China
United International University,21,16.0,Bangladesh
Damanhour University,21,18.0,Egypt
University of Cape Town,21,26.0,South Africa
Affiliated Hospital of Shandong University of Traditional Chinese Medicine,21,6.0,China
Communication University of China,21,3.0,China
Henan University of Animal Husbandry and Economy,21,4.0,China
Aswan University,21,16.0,Egypt
Shenyang Pharmaceutical University,21,3.0,China
Shaqra University,21,3.0,Egypt
University of Exeter,21,29.0,United Kingdom
Lanzhou Jiaotong University,21,4.0,China
New York University,21,12.0,United States
The Fourth Affiliated Hospital of Harbin Medical University,21,14.0,China
Clinical Research,21,13.0,United States
Civil Aviation Flight University of China,21,2.0,China
Batterjee Medical College,21,3.0,Egypt
Xi’an Technological University,21,2.0,China
Guilin University of Electronic Technology,21,3.0,China
State University of Campinas,21,9.0,Brazil
The Second Affiliated Hospital of Chongqing Medical University,21,10.0,China
University of Saskatchewan,21,6.0,Canada
L.N. Gumilyov Eurasian National University,21,6.0,Kazakhstan
The First Affiliated Hospital of Jiamusi University,21,3.0,China
Xi’an University of Science and Technology,21,5.0,China
National Kaohsiung First University of Science and Technology,20,20.5,Taiwan
Kaohsiung Medical University,20,9.5,Taiwan
Al-Nahrain University,20,1.5,Iraq
Shanghai Lixin University of Accounting and Finance,20,6.0,China
Changchun Institute of Technology,20,2.0,China
SASTRA Deemed University,20,9.5,India
Qatar University,20,19.0,Qatar
University of Auckland,20,21.5,New Zealand
University of Bonab,20,33.0,China
Chung-Ang University,20,2.5,South Korea
Gomal University,20,14.5,Pakistan
University of Bisha,20,15.0,China
Tangshan Normal University,20,3.0,China
Taizhou University,20,3.0,China
Hazara University Mansehra,20,5.0,China
Indian Institute of Technology Roorkee,20,25.0,India
Chongqing University of Education,20,5.0,China
Sharda University,20,16.0,India
Adama Science and Technology University,20,17.5,Ethiopia
Taiyuan Normal University,20,2.0,China
Xi'an University of Architecture and Technology,20,0.5,China
Nisantasi University,20,7.0,Ethiopia
University Putra Malaysia,20,13.5,Malaysia
Saveetha Engineering College,20,7.0,India
Shanghai Maritime University,20,4.5,China
Prince of Songkla University,20,12.0,Thailand
Lahore College for Women University,20,5.0,Pakistan
Guangxi University for Nationalities,20,3.0,China
Guilin University of Technology,20,2.5,China
Hunan University of Chinese Medicine,20,5.5,China
Hokkaido University,20,15.5,Japan
Shenyang Agricultural University,20,2.0,China
Hoseo University,20,2.0,South Korea
Academy of Armored Force Engineering,20,0.0,China
Tikrit University,20,7.5,Ethiopia
Sri Sairam Engineering College,20,15.0,Ethiopia
Yango University,20,10.0,China
University of Iowa,20,14.0,United States
Northeast Dianli University,20,0.0,China
Liaocheng People's Hospital,20,14.0,China
Abdul Wali Khan University,20,16.0,Pakistan
Charles University,20,12.0,Czech Republic
The Second Affiliated Hospital of Zhengzhou University,20,16.0,China
Hubei University of Education,20,2.0,China
Xinyang Normal University,20,2.0,China
University of Peshawar,20,8.0,Pakistan
Perm National Research Polytechnic University,20,0.0,Russia
University of Ghana,20,12.0,Ghana
University of Ha’il,20,14.0,India
Kansas State University,20,7.0,United States
Lebanese French University,20,19.5,China
Yunnan Technology and Business University,20,2.0,China
Jiangsu University of Science and Technology,20,4.0,China
China University of Geosciences (Beijing),20,2.0,China
Chitkara University,20,10.5,India
Zunyi Medical University,19,25.0,China
Affiliated Hospital of Qingdao University,19,10.0,China
AJA University of Medical Sciences,19,9.0,Iran
Clinical Medical College,19,6.0,China
Zhejiang University of Science and Technology,19,4.0,China
University of Heidelberg,19,20.0,Germany
Chengdu Sport University,19,2.0,China
Shanxi Academy of Medical Sciences,19,6.0,China
Taipei Medical University,19,16.0,Taiwan
Dongbei University of Finance and Economics,19,2.0,China
The First Affiliated Hospital of Guangzhou Medical University,19,6.0,China
Kurdistan University of Medical Sciences,19,10.0,Iran
Beth Israel Deaconess Medical Center,19,19.0,United States
Tongde Hospital of Zhejiang Province,19,7.0,China
Wollega University,19,7.0,Ethiopia
Mudanjiang Medical University,19,10.0,China
Mount Sinai School of Medicine,19,20.0,United States
Huazhong University of Science & Technology,19,1.0,China
Guangxi Normal University,19,2.0,China
University of Houston,19,7.0,United States
Shandong Jiaotong University,19,0.0,China
Tianjin Normal University,19,2.0,China
Hunan University of Arts and Science,19,2.0,China
University of Khartoum,19,7.0,Sudan
Xi’an Siyuan University,19,3.0,China
Bharathidasan University,19,10.0,India
Kafrelsheikh University,19,16.0,Egypt
Cangzhou Normal University,19,1.0,China
Helwan University,19,17.0,Egypt
Jadavpur University,19,5.0,India
University of Connecticut School of Medicine,19,81.0,United States
Gachon University,19,5.0,South Korea
Mepco Schlenk Engineering College,19,8.0,India
Kazan Federal University,19,4.0,Russia
Near East University,19,10.0,Cyprus
Ghent University,19,12.0,Belgium
University of Mohaghegh Ardabili,19,9.0,China
University of Missouri,19,7.0,United States
Howard Hughes Medical Institute,19,50.0,United States
St. Joseph’s College of Engineering,19,4.0,India
Guangdong University of Petrochemical Technology,19,4.0,China
Alborz University of Medical Sciences,19,12.0,Iran
The Second Military Medical University,19,8.0,China
Boston University School of Medicine,19,21.0,United States
Graphic Era Deemed to Be University,19,14.0,Ethiopia
Kyushu University,19,16.0,Japan
University of Salamanca,19,9.0,Japan
Eastern Mediterranean University,19,23.0,China
Lishui University,19,5.0,China
The University of Texas M.D. Anderson Cancer Center,19,78.0,United States
The First Hospital of China Medical University,19,18.0,China
National Kaohsiung University of Science and Technology,19,7.0,China
Shengli Oilfield Central Hospital,19,17.0,China
Hubei University of Chinese Medicine,19,4.0,China
Hubei University,19,2.0,China
Nanchang Hangkong University,19,1.0,China
Shahid Sadoughi University of Medical Sciences,19,10.0,Iran
Nanjing University of Finance and Economics,18,2.0,China
Xi’an Peihua University,18,3.5,China
